#&&	5
#&@	5
$(	21
$@	4
)#)	1
)$	1
)$ (	1
)$%&	3
)& @	4
))	1
))#	3
)))	5
-	1
.0469	1
.3211	1
/0011	15
0	438
0 302	1
00	29
000	4
0000	22
00000	595373
000000	50
0000000	30
00000000	7
000000000	22977
00001	3
00003	1
00011	4
00021	5
00022	10
00083	23
00091	1
00100	3
00104	10
00112	4
00113	7
00124	1
00212	3
00358	1
00373	1
00377	1
0038	1
00584	1
00601	1
00602	2
00603	1
00605	1
00610	2
00611	1
00612	1
00614	5
00615	1
00623	1
00630	1
00635	2
00637	14
00646	4
00650	1
00656	2
00662	2
00667	1
00671	2
00672	2
00676	2
00678	1
00693	1
00701	1
00702	1
00709	2
00722	1
00724	1
00725	2
00726	1
00731	1
00740	1
00742	1
00747	4
00754	2
00793	3
007932	1
00796	1
00800	1
00801	1
00802	19
00802-137	1
00803	2
00805	1
00806	1
00820	2
00832	7
00839	1
00847	1
00851	1
00902	1
00907	1
00911	1
00912	1
00915	5
00917	3
00921	3
00923	1
00926	2
00928	1
00936	1
00949	1
00960	1
00961	2
00965	1
00966	1
00979	1
00985	1
00996	1
01001	3
01002	3
01004	6
01020	6
01029	19
01037	2
01039	1
01040	13
01041	2
010467000	1
01060	2
010702	1
01075	1
01085	2
01089	6
01093	4
01094	1
01095	9
01101	1
01103	9
01104	6
01105	5
01106	3
01107	1
01108	13
01109	12
011090000	3
01115	1
01118	3
01119	2
01128	1
01129	13
01147	1
01151	3
01201	9
01220	1
01230	9
01234	1
01243	1
01257	1
01262	4
01267	1
01301	1
01323	1
01364	1
01420	12
01430	1
01432	1
01440	1
01446	1
01451	1
01457	1
01510	5
01523	1
01561	1
01562	1
01571	1
01581	35
01602	1
01603	7
01604	7
01605	2
01606	2
01609	2
01610	4
01612	1
01614	1
01701	2
01702	16
01704	1
01705	1
01709	1
01710	1
01719	1
01726	1
01747	1
01748	1
01752	5
01757	4
01760	8
01776	1
01790	1
01801	18
01803	1
01840	1
01841	20
01843	4
01844	2
01851	4
01852	5
01863	7
01867	2
01879	1
01880	5
01901	4
01902	27
01904	1
01905	8
01907	1
01915	4
01923	5
01923-400	5
01940	3
01960-132	5
01970	27
02001	2
02021	7
02025	3
02026	20
02035	2
02038	1
02043	1
02050	1
02055	1
02062	1
02063	1
02065	1
02067	2
02071	2
02072	7
02081	1
02105	2
02109	71
0211-2804	1
02111	2
02114	1
02115	1
02116	3
02118	7
02119	9
02120	5
02121	14
02122	9
02124	13
02125	13
02126	33
02127	2
02128	15
02129	2
02130	9
02131	19
021310000	1
02132	67
02132-498	85
02133	1
02134	15
02135	12
02136	20
02139	5
02140	5
02141	16
02143	11
02144	2
02145	34
02146	5
02148	5
02149	8
02150	11
02151	14
02153	1
02154	3
02155	5
02159	2
02169	10
02170	6
02171	1
02172	2
02174	4
02176	1
02186	2
02188	1
02189	1
02192	2
02199	2
02204	1
02206	1
02210	533
02210-169	4
02210108	11
02215	4
02258	1
02269	1
02301	17
023012027	1
02302	11
02307	1
02313	22
02360	1
02368	17
02375	1
02379	3
02388	5
02401	7
02420	1
02451	2
02453	6
02458	4
02461	2
02467	5
02467-170	1
02472	7
02474	1
02476	2
02481	1
02494	2
02554	7
02557	2
02562	3
02601	1
02631	2
02638	2
02648	1
02653	8
02655	1
02657	1
02666	1
02667	1
02672	1
02686	1
02703	2
02720	1
02722	3
02723	1
02724	1
02740	4
02744	1
02746	1
02760	1
02769	24
02771	3
02779	1
02780	5
02792	1
02802	4
02807	4
02809	3
02818	2
02838	1
02840	2
02857	2
02860	12
02861	11
02863	7
02866	1
02871	1
02886	2
02889	1
02893	2
02895	35
02900	2
02901	1
02903	5
02904	11
02905	22
02906	1
02907	70
02908	15
02909	27
02910	4
02911	3
02914	3
02915	2
02919	19
02920	21
02957	1
02967	1
03054	1
03055	3
03060	11
03063	3
03079	1
03101	11
03102	9
03103	8
03104	9
03105	8
03106	11
03110	1
03116	1
031904	1
03208	2
03220	1
03244	1
03247	1
03276-572	2
03350	1
034	1
03431	3
03574	1
03584	1
03608	2
03661	2
03666	1
037	1
03766	1
03781	1
03801	24
03813	1
03820	1
03827	1
03843	1
03852	1
03857	1
03907	14
039959	1
