*	8
--------	1
.	3
0	123
00	4
000	6
0000	29
0000 000	1
0000 0000	4
0000-000	1
0000-0000	1
00000	372
000000	42
0000000	9
00000000	4
000000000	1
00083	503
00116	1
00181	1
0024	1
0031	1
00565	1
00641	1
006610	2
007114	1
00717	1
00721	1
007310	1
00795	1
00877	1
00881	1
00976-7234	1
01010	1
01011	1
01040-9681	1
01041	1
01111	1
01176	1
01230	1
01234	3
012345	1
01581	2
01581-5171	1
01583	1
01650	1
01701-0166	1
01748-9100	2
01757	3
01757-2821	2
01760	1
01778	1
01803	1
01810	4
01810-1008	2
01830	2
01831	2
01840	3
01842	1
01843	1
01845	1
01850	1
01851	1
01853	2
01888-4133	1
02007	1
02026	1
02061	50
02061-0601	2
02061-1674	1
02061-4300	1
02062	3
02109	3
02114	1
02116	1
02132	1
02140	3
02150	3
02184	2
02205	2
02241-3113	1
02241-5787	1
02241-5789	2
02241-7460	1
02250-5126	1
02298	4
02298-1002	3
02301	2
02346	1
02360-4807	1
02453-3483	1
02459	19
02494	1
02494-0587	1
02767	1
02771	1
02818	1
02886	1
02907	1
03003079	1
03016	1
03060	1
03070	1
03079	3
03079-1048	1
03104	2
03108	2
03110	1
031546	1
03784	1
03830	1
05620	1
056679	1
05679	1
06066	2
06067	1
06088	2
06093	1
06103	1
06114	1
06128	2
06320	1
06371	2
06401	1
06460	2
06468	1
06470	1
06477	2
06489	1
06501	1
06511	3
06513-2516	1
06515	1
06516	1
06517-3340	1
06518	1
06601	1
06604	2
06606	1
06610	1
06611	2
06757	1
06770	1
06770-3437	1
06801-1459	1
06810	1
06811	1
06820	2
06824	1
06828	1
06830	13
06831	6
06840	4
06851	17
06854	1
06855	1
06857	1
06870	8
06877	3
06878	3
06880	5
06890-2101	1
06897	1
06901	18
06902	14
06903	4
06905	2
07000	3
07001	2
07002	12
07003	10
07004	10
07006	3
07007	4
07008	2
07010	14
07011	2
070110	1
07012	3
07013	6
07014	5
07015	1
07016	5
07017	6
07020	34
07023	2
07024	43
07026	6
07027	1
07028	3
07029	8
0703	1
07030	140
07030-5773	1
07030-5774	1
07031	1
07032	8
07033	2
07034	1
07035	1
07036	7
070370	1
07039	6
07040	5
07041	3
07042	9
07043	2
07045	1
07047	50
0705	1
07050	5
07052	8
07054	31
07054-5020	2
07055	4
07057	3
07059	1
07060	3
07062	1
07066	1
07067	1
07068	1
07069	3
07070	9
07071	19
07072	3
07073	29
07074	1
07075	1
07076	2
07077	3
07078	7
07079	6
07080	1
07081	1
07083	5
07086	50
07087	43
07088	1
07090	10
07093	41
07094	54
07095	6
07095-0549	1
07095-1304	1
07097	2
07101	13
07101-4523	1
07102	28
07103	3
07103-4154	1
07104	7
07105	8
07106	1
07107	3
07108	3
07109	4
0711	1
07110	1
07111	9
071114	2
07112	2
07114	941
07115	5
07117	1
07123	1
0714	1
07144	7
07172	1
07193	1
07201	37
07201-2114	1
07202	5
07203	8
07205	5
07206	4
07207	3
07208	4
0730	1
07300	1
07302	137
07302-3973	1
07303	4
07304	33
07305	20
07306	60
07307	24
07310	100
07311	3
07351	1
07362	1
07372	1
07376	1
07390	1
07395	3
0740	1
07405	1
07407	1
07410	10
07417	2
07424	3
07430	7
07436	1
07438	2
07440	1
07446	2
07450	5
07458	2
07462	1
07463	1
07470	3
07481	2
07495	1
07502	1
07503	1
07504	2
07512	1
07513	1
07514	1
07524	1
07601	15
07603	1
07604	11
07605	5
07606	1
07607	4
07608	6
07620	1
07621	3
07624	4
07626	1
07628	1
07631	19
07632	31
07640	1
076406	1
07641	1
07642	1
07643	2
07644	3
07645	2
07646	4
07647	5
07647-2311	1
07648	2
07649	1
0765	1
07650	8
07652	12
07653	1
07654	2
07656	3
07657	6
07660	10
07660-2112	1
07661	2
07663	6
07664	1
07666	21
07670	10
07675	3
07677	1
07700	1
07701	4
077011	1
07702	2
07710	3
07712	3
07714	1
07716	1
07719	1
07721	4
07722	2
07724	1
07726	10
07727	3
07728	1
07729	1
07730	1
07731	2
07733	1
07734	1
07735	3
07740	1
07747	2
07748	2
07751	1
07758	1
07801	4
07807	1
07852	1
07853	1
07871	1
078808	1
07901	5
07906	1
07920	4
07928	2
07932	2
07933	1
07936	1
07940	2
07945	1
07960	7
07974	3
07981	4
08000	1
08001	1
08003	12
08005	1
08006-0129	1
08008	1
080111	1
08021	1
08043	2
08046	2
08053	1
08054	1
08060	1
08063	1
08069	1
08080	2
08081	1
08083	5
08086	5
08086-0129	2
08094	1
08102	1
08223	1
08232	1
08360	1
08360-4213	1
08361	1
08401	2
08457	1
08505	1
08512	2
08520	2
08527	5
08535	2
08536	1
08540	5
08540-1515	2
08542	1
08544	1
08550	1
08551	1
08620	1
08638	1
08648	1
08650	2
08650-4909	1
08690	1
08690-1717	1
08691	3
08701	3
08723	2
08724	1
08730	1
08754-2137	1
08757	2
08759	2
08776	1
08807	6
08816	3
08817	5
08820	2
08823	1
08827-4010	1
0883	1
08830	9
08831	2
08837	8
08840	3
08854	7
08857	4
08859	4
0886	1
08861	4
08865	1
08869	1
08872	1
08873	8
08876	8
08879	8
08901	9
08902	2
08904	2
08906	1
09070	1
099999	1
1	3
1*9138	1
100	1
1000	3
10000	1655
100000	4
1000000	1
10001	94429
10002	163964
10003	151807
100038	1
10004	18195
10005	18957
10006	11197
10007	30762
10008	6
10008-3772	1
10008-378	1
10009	135095
10010	64099
10010-3672	1
10011	129632
10012	86720
10013	99691
10014	97313
10015	1
10016	119816
10017	51959
10018	46485
10019	138086
10020	2682
10021	69374
10022	82177
10023	110769
10023-0007	1
10023-6349	1
10024	106772
10025	170638
10026	102838
10027	159338
10028	75716
10029	147793
1003	2
10030	93000
10031	230781
10032	205877
10033	167981
10033-0238	1
10034	156903
10035	92653
100354	1
10036	105714
10037	47546
10038	45518
10039	66406
10039-0188	1
10039-0841	1
10040	173544
10040-0815	1
10041	249
10044	3220
10045	16
10048	277
10050	1
10050-4295	1
10055	14
10063	1
10065	54783
10067	1
10069	3891
100701	1
10075	39621
1008	1
1008-7162	1
10080	1
10087-0001	1
10087-8454	1
10096	4
101	1
10101	7
10101-2135	1
10103	220
10104	8
10105	111
10106	77
10107	97
10108	6
10110	71
10111	145
10112	334
10115	48
10116	15
10116-0313	1
10118	192
10119	600
10120	207
10121	442
10122	43
10123	102
10128	83139
10129	150
10134	1
10138	1
10149	1
10150	6
10151	103
10152	39
10153	125
10154	59
10155	42
10156	1
10158	97
10159	4
10159-1323	1
10162	335
10163	7
10163-4668	3
10165	88
10166	3
10167	50
10168	158
10169	224
10170	42
10171	22
10172	103
10173	57
10174	43
10175	5
10176	28
10177	50
10178	32
10179	16
10185	1
10224	1
10259	2
10270	1
10271	110
10272	1
10272-0992	1
10276	5
10278	183
10279	99
10280	5083
10281	972
10282	3518
10285	1
10301	115664
10302	51967
10303	61624
10304	107184
10305	90178
10306	131217
10307	26465
10308	60025
10309	68199
10310	65067
10312	126235
10313	1
103132	1
10314	175564
10318	1
10333	1
10352	1
10367	1
10396	1
10400	1
10401	1
10402	1
10412	2
10423-0935	1
10426	1
10427	1
10432	1
10435	1
10444	1
10450	1
10451	123317
10452	247192
10453	261606
10454	79502
10455	101793
10456	229915
10457	242707
10458	269642
10459	136396
1046	1
1046-0232	1
10460	174630
10461	137743
10462	182043
10463	177429
10464	19586
10465	91841
10466	178525
10467	316536
10468	253286
10468-0232	1
10469	146747
10470	51142
10471	41755
10472	191750
10473	97892
10474	51797
10475	28899
10476	1
10501	2
10502	10
10504	7
10505	1
10506	4
10507	1
10509	2
10510	4
10512	4
10514	4
10516	2
10520	3
10522	10
10523	32
10523-0935	2
10526	1
10528	10
10530	13
10532	15
10532-1533	1
10533	6
10536	8
10537	1
10538	12
10541	3
10543	15
105457	1
10546	1
10547	2
10548	1
10549	4
10550	51
10550-1202	1
10552	24
10553	16
105550	1
10560	1
10561	1
10562	10
10566	11
10567	3
10568	1
10570	2
10572	1
10573	33
10576	2
10577	5
10577-0800	1
10577-0900	3
10579	1
10580	8
10582	1
10583	43
10589	5
10590	2
10591	36
10594	12
10594-0209	4
10595	8
10598	4
10601	58
10602	3
10602-5055	2
10603	17
10604	12
10604-1205	1
10605	10
10605-1303	1
10606	9
10610	1
1062	1
1065	1
1066	1
107005	1
10701	61
10702	1
10703	12
10704	62
10705	46
10706	4
10707	8
10708	27
10709	1
10710	38
1074	1
10750	1
10801	69
10801-6393	2
10802	1
10803	199
10804	21
10805	21
10850	1
10853	1
10901	2
10913	1
10916	1
10917	4
10920	1
10921	1
10923	1
10924	1
10925	2
10926	1
10929	1
10930	1
10940	6
10941	1
10950	2
10951	1
10952	7
10954	7
10956	7
10960	6
10962	4
10964	2
10965	4
10968	1
10970	3
10977	13
10980	2
10983	2
10984	2
10987	1
10989	2
10990	2
10993	1
10994	3
10PPP	1
11	3
11000	1
110001	1
11001	7995
11001-2024	5
11001-2220	1
11002	1
11003	99
11003-4033	1
11004	23801
110044	1
11005	956
11008	1
1101	3
11010	35
11010-1534	1
11011	5
11012	3
11020	16
11021	87
11023	17
11024	13
11024-1019	1
11027	2
1103	1
11030	49
11030-3409	1
11030-3411	1
11031	1
11037	1
1104	1
11040	5441
11040-4204	1
11040-4609	1
11042	44
11046	1
1105	1
11050	31
11050-4341	1
11054	2
1106	1
11064	1
11091	1
11096	26
11096-0612	2
11101	128829
11101-2011	1
11101-6122	1
11102	75029
11103	89635
11104	57305
11105	82986
11106	85745
11109	2482
11110	1
11111	32
111111	2
11112	1
11122	1
111234	1
11126	1
11137	1
11140	1
111694	1
1120	1
11201	141353
11202	9
11202-0922	1
11203	212504
11204	148849
11205	110960
11206	184085
11207	280612
11208	247054
11209	175467
11210	159684
11211	185785
11212	210844
11212-5368	2
11213	220390
11214	168971
11215	175087
11215-0389	1
11216	214064
11217	119813
11218	164401
11219	146442
11219-0283	1
1122	1
11220	186928
11221	258959
11222	113952
11223	153984
11224	66881
11225	218450
11226	375897
11228	85052
11229	167201
1123	1
11230	202942
11231	88541
11232	76110
11233	224314
11234	196048
11235	188162
11236	174129
11237	170188
11238	189351
11239	10831
11241	87
11242	84
11243	37
11244	1
11247	3
11249	62921
11251	72
112516	1
11253	1
112611	1
1130	2
11307	1
11317	1
11321	1
11324	1
11335	1
11341	1
11343	1
11345	1
11350	1
11352	5
11354	100091
11354-3254	1
11355	126553
11356	60513
11357	83267
11357-1656	1
11358	84553
11359	176
11360	26613
11361	64163
11362	36242
11363	21107
11364	59559
11365	71578
11366	58743
11367	75782
11367-0874	1
11368	168281
11369	77574
11370	49611
113709	1
11371	562
11372	115739
11373	153185
11373-1426	1
11374	81635
11375	130456
11377	162552
11378	102461
11379	83670
11385	260485
11386	8
11390	1
11400	2
11405	1
11408	1
1141	1
11411	41933
11412	81851
11412-2116	1
11413	87185
11414	66481
11415	47453
11416	65239
11417	84037
11418	94780
11419	131422
